No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
53.0,Décembre,3.0,3,4.0,53.0,48.0,19.0,,1000.0,2.0,-4.8,1013.6,-13.2,0.0,NNE,0.2,École Ouakam
54.0,Décembre,3.0,3,5.0,48.0,55.0,19.0,66.0,1100.0,3.0,-5.6,1013.2,-13.0,0.0,ENE,0.5,École Ouakam
55.0,Décembre,3.0,3,6.0,53.0,55.0,19.0,69.0,1300.0,2.0,-5.7,1013.2,-13.1,0.0,NE,0.0,École Ouakam
56.0,Décembre,3.0,3,7.0,53.0,59.0,15.0,67.0,1000.0,2.0,-3.3,1013.5,-12.8,0.0,NE,0.8,École Ouakam
57.0,Décembre,3.0,3,8.0,50.0,56.0,22.0,62.0,1200.0,8.0,-0.3,1012.8,-11.4,0.0,NNW,0.5,École Ouakam
58.0,Décembre,3.0,3,9.0,60.0,78.0,33.0,60.0,1500.0,16.0,3.4,1012.5,-12.6,0.0,SSE,0.8,École Ouakam
59.0,Décembre,3.0,3,10.0,73.0,87.0,41.0,61.0,1200.0,24.0,6.5,1011.4,-12.2,0.0,SE,2.1,École Ouakam
60.0,Décembre,3.0,3,11.0,76.0,101.0,49.0,64.0,1200.0,27.0,9.0,1010.4,-11.6,0.0,ESE,1.4,École Ouakam
63.0,Décembre,3.0,3,14.0,79.0,147.0,23.0,27.0,600.0,65.0,16.6,1006.9,-14.1,0.0,NW,5.3,École Ouakam
64.0,Décembre,3.0,3,15.0,44.0,105.0,4.0,3.0,200.0,86.0,17.0,1006.8,-14.9,0.0,NW,2.3,École Ouakam
65.0,Décembre,3.0,3,16.0,14.0,43.0,3.0,,200.0,88.0,16.1,1006.9,-14.4,0.0,ENE,0.7,École Ouakam
66.0,Décembre,3.0,3,17.0,5.0,29.0,3.0,,200.0,87.0,13.9,1007.6,-14.1,0.0,SSE,0.6,École Ouakam
67.0,Décembre,3.0,3,18.0,3.0,32.0,3.0,,200.0,84.0,12.4,1009.0,-14.4,0.0,E,0.8,École Ouakam
68.0,Décembre,3.0,3,19.0,11.0,46.0,3.0,2.0,200.0,83.0,8.9,1010.0,-13.5,0.0,NW,0.9,École Ouakam
69.0,Décembre,3.0,3,20.0,5.0,42.0,3.0,2.0,200.0,82.0,7.7,1010.1,-12.2,0.0,ENE,0.5,École Ouakam
70.0,Décembre,3.0,3,21.0,12.0,34.0,3.0,2.0,200.0,79.0,6.9,1010.6,-12.3,0.0,N,0.7,École Ouakam
71.0,Décembre,3.0,3,22.0,4.0,31.0,7.0,8.0,500.0,61.0,6.8,1011.2,-11.9,0.0,NE,1.5,École Ouakam
72.0,Décembre,3.0,3,23.0,14.0,38.0,4.0,4.0,300.0,68.0,8.6,1012.1,-11.4,0.0,NE,2.0,École Ouakam
73.0,Décembre,3.0,4,0.0,13.0,34.0,3.0,,200.0,76.0,9.2,1013.2,-12.6,0.0,ENE,2.4,École Ouakam
74.0,Décembre,3.0,4,1.0,10.0,36.0,3.0,,200.0,80.0,7.3,1014.2,-12.5,0.0,NE,2.1,École Ouakam
75.0,Décembre,3.0,4,2.0,8.0,28.0,3.0,,200.0,81.0,6.1,1014.4,-13.5,0.0,NW,1.4,École Ouakam
76.0,Décembre,3.0,4,3.0,5.0,19.0,3.0,,200.0,84.0,6.6,1014.2,-14.8,0.0,N,4.0,École Ouakam
77.0,Décembre,3.0,4,4.0,11.0,4.0,3.0,,200.0,86.0,4.8,1014.6,-12.2,0.0,NW,2.6,École Ouakam
78.0,Décembre,3.0,4,5.0,5.0,62.0,3.0,,200.0,87.0,5.4,1015.4,-12.1,0.0,NW,4.7,École Ouakam
79.0,Décembre,3.0,4,6.0,8.0,3.0,3.0,4.0,200.0,79.0,4.2,1016.1,-12.3,0.0,N,3.0,École Ouakam
80.0,Décembre,3.0,4,7.0,7.0,19.0,8.0,7.0,300.0,71.0,6.3,1016.8,-12.3,0.0,N,0.8,École Ouakam
81.0,Décembre,3.0,4,8.0,4.0,15.0,10.0,8.0,300.0,69.0,8.9,1017.4,-12.9,0.0,ENE,1.6,École Ouakam
82.0,Décembre,3.0,4,9.0,5.0,16.0,13.0,8.0,300.0,70.0,10.2,1017.6,-13.8,0.0,NW,3.8,École Ouakam
83.0,Décembre,3.0,4,10.0,8.0,17.0,13.0,7.0,300.0,74.0,11.4,1017.1,-14.4,0.0,NNW,4.2,École Ouakam
84.0,Décembre,3.0,4,11.0,7.0,11.0,6.0,4.0,300.0,80.0,12.7,1016.6,-15.1,0.0,NNW,4.4,École Ouakam
85.0,Décembre,3.0,4,12.0,5.0,6.0,5.0,3.0,200.0,84.0,14.6,1015.4,-14.6,0.0,NNW,3.5,École Ouakam
86.0,Décembre,3.0,4,13.0,10.0,7.0,6.0,4.0,300.0,86.0,15.1,1014.2,-15.2,0.0,NNW,3.4,École Ouakam
87.0,Décembre,3.0,4,14.0,13.0,11.0,10.0,6.0,300.0,88.0,16.1,1013.1,-16.9,0.0,NW,3.0,École Ouakam
88.0,Décembre,3.0,4,15.0,16.0,18.0,9.0,6.0,300.0,91.0,16.1,1012.5,-16.9,0.0,NW,2.3,École Ouakam
89.0,Décembre,3.0,4,16.0,18.0,20.0,6.0,6.0,300.0,90.0,14.8,1012.0,-14.4,0.0,SSW,3.3,École Ouakam
90.0,Décembre,3.0,4,17.0,18.0,16.0,5.0,5.0,300.0,92.0,12.9,1012.4,-14.0,0.0,SSW,2.6,École Ouakam
91.0,Décembre,3.0,4,18.0,10.0,10.0,12.0,30.0,600.0,79.0,11.3,1012.7,-13.7,0.0,SSW,1.2,École Ouakam
92.0,Décembre,3.0,4,19.0,39.0,80.0,19.0,46.0,800.0,63.0,8.7,1013.2,-12.5,0.0,ENE,0.5,École Ouakam
93.0,Décembre,3.0,4,20.0,41.0,80.0,18.0,44.0,900.0,49.0,5.9,1013.4,-11.7,0.0,ENE,0.2,École Ouakam
94.0,Décembre,3.0,4,21.0,60.0,74.0,18.0,38.0,800.0,50.0,4.9,1013.4,-11.7,0.0,ESE,0.8,École Ouakam
95.0,Décembre,3.0,4,22.0,50.0,71.0,22.0,38.0,1000.0,45.0,4.0,1013.2,-11.6,0.0,E,0.6,École Ouakam
96.0,Décembre,3.0,4,23.0,50.0,70.0,19.0,33.0,900.0,92.0,4.2,1012.6,-11.5,0.0,ESE,0.8,École Ouakam
97.0,Décembre,3.0,5,0.0,52.0,64.0,18.0,30.0,800.0,92.0,2.8,1012.1,-11.2,0.0,ENE,0.4,École Ouakam
98.0,Décembre,3.0,5,1.0,56.0,58.0,14.0,25.0,800.0,92.0,1.8,1011.7,-11.0,0.0,NNE,0.6,École Ouakam
99.0,Décembre,3.0,5,2.0,50.0,54.0,16.0,26.0,700.0,92.0,0.8,1011.4,-10.7,0.0,N,0.6,École Ouakam
100.0,Décembre,3.0,5,3.0,88.0,54.0,16.0,30.0,800.0,92.0,0.2,1011.0,-10.4,0.0,N,0.2,École Ouakam
101.0,Décembre,3.0,5,4.0,53.0,57.0,15.0,30.0,800.0,92.0,-0.1,1010.7,-10.1,0.0,N,0.8,École Ouakam
102.0,Décembre,3.0,5,5.0,46.0,55.0,13.0,23.0,700.0,92.0,-0.4,1010.9,-9.6,0.0,NNE,0.0,École Ouakam
103.0,Décembre,3.0,5,6.0,43.0,50.0,15.0,26.0,600.0,92.0,-1.0,1010.6,-9.4,0.0,NE,0.8,École Ouakam
104.0,Décembre,3.0,5,7.0,47.0,57.0,17.0,38.0,700.0,92.0,1.2,1010.4,-9.4,0.0,NE,0.0,École Ouakam
105.0,Décembre,3.0,5,8.0,52.0,64.0,16.0,33.0,700.0,92.0,6.0,1010.1,-10.7,0.0,SW,0.8,École Ouakam
106.0,Décembre,3.0,5,9.0,52.0,72.0,23.0,30.0,800.0,92.0,7.8,1009.5,-10.6,0.0,SW,1.0,École Ouakam
107.0,Décembre,3.0,5,10.0,69.0,90.0,30.0,46.0,1000.0,92.0,9.3,1008.7,-9.3,0.0,ESE,1.4,École Ouakam
111.0,Décembre,3.0,5,14.0,131.0,150.0,50.0,61.0,1200.0,92.0,14.1,1004.3,-8.6,0.0,SE,1.7,École Ouakam
116.0,Décembre,3.0,5,19.0,179.0,200.0,50.0,96.0,1600.0,82.0,7.7,1005.4,-7.6,0.0,NNE,0.2,École Ouakam
117.0,Décembre,3.0,5,20.0,172.0,180.0,43.0,94.0,1899.0,82.0,6.3,1005.9,-7.3,0.0,NNE,0.7,École Ouakam
118.0,Décembre,3.0,5,21.0,179.0,191.0,38.0,80.0,1700.0,82.0,5.6,1006.0,-7.3,0.0,NNE,0.2,École Ouakam
119.0,Décembre,3.0,5,22.0,173.0,168.0,39.0,73.0,1800.0,82.0,4.9,1005.8,-7.0,0.0,N,1.7,École Ouakam
120.0,Décembre,3.0,5,23.0,170.0,162.0,42.0,72.0,1700.0,82.0,3.7,1005.7,-6.9,0.0,NE,0.4,École Ouakam
121.0,Décembre,3.0,6,0.0,166.0,153.0,40.0,66.0,1800.0,82.0,3.9,1005.4,-6.7,0.0,N,2.0,École Ouakam
122.0,Décembre,3.0,6,1.0,173.0,154.0,38.0,58.0,1500.0,82.0,3.9,1005.3,-6.4,0.0,NE,0.8,École Ouakam
123.0,Décembre,3.0,6,2.0,161.0,140.0,41.0,61.0,1600.0,82.0,3.5,1004.8,-6.5,0.0,N,0.7,École Ouakam
124.0,Décembre,3.0,6,3.0,161.0,143.0,47.0,68.0,1600.0,82.0,3.7,1004.7,-6.3,0.0,N,1.3,École Ouakam
125.0,Décembre,3.0,6,4.0,163.0,150.0,49.0,69.0,1600.0,82.0,2.4,1004.7,-6.2,0.0,N,1.0,École Ouakam
147.0,Décembre,3.0,7,2.0,150.0,149.0,,74.0,1300.0,52.0,3.0,1003.8,-3.8,0.0,SW,0.5,École Ouakam
148.0,Décembre,3.0,7,3.0,91.0,85.0,32.0,46.0,700.0,52.0,1.4,1003.6,-4.3,0.0,SW,1.0,École Ouakam
149.0,Décembre,3.0,7,4.0,61.0,61.0,24.0,,900.0,52.0,1.3,1003.5,-5.0,0.0,WNW,1.8,École Ouakam
150.0,Décembre,3.0,7,5.0,50.0,40.0,20.0,26.0,500.0,52.0,1.0,1003.7,-5.3,0.0,NNE,1.5,École Ouakam
151.0,Décembre,3.0,7,6.0,26.0,13.0,19.0,26.0,400.0,52.0,0.2,1003.6,-5.4,0.0,NNE,1.0,École Ouakam
152.0,Décembre,3.0,7,7.0,19.0,13.0,18.0,31.0,600.0,52.0,4.9,1003.6,-4.4,0.0,N,0.1,École Ouakam
153.0,Décembre,3.0,7,8.0,33.0,29.0,20.0,28.0,600.0,52.0,7.0,1003.4,-3.6,0.0,SSW,1.4,École Ouakam
154.0,Décembre,3.0,7,9.0,28.0,39.0,22.0,34.0,900.0,52.0,8.9,1003.2,-3.7,0.0,SSE,1.0,École Ouakam
158.0,Décembre,3.0,7,13.0,153.0,160.0,36.0,44.0,900.0,63.0,17.3,996.7,-4.1,0.0,SSW,1.4,École Ouakam
159.0,Décembre,3.0,7,14.0,74.0,52.0,30.0,43.0,900.0,75.0,16.6,995.5,-3.5,0.0,ESE,1.2,École Ouakam
160.0,Décembre,3.0,7,15.0,75.0,83.0,49.0,128.0,1800.0,75.0,16.8,994.7,-3.4,0.0,ENE,1.0,École Ouakam
166.0,Décembre,3.0,7,21.0,240.0,244.0,45.0,126.0,2500.0,75.0,7.9,995.1,-3.0,0.0,NNE,1.2,École Ouakam
167.0,Décembre,3.0,7,22.0,224.0,226.0,41.0,105.0,2200.0,75.0,8.1,995.1,-3.4,0.0,ENE,0.9,École Ouakam
168.0,Décembre,3.0,7,23.0,219.0,203.0,38.0,87.0,2000.0,75.0,6.8,995.0,-3.2,0.0,NE,1.3,École Ouakam
169.0,Décembre,3.0,8,0.0,189.0,189.0,36.0,72.0,1899.0,75.0,5.9,995.3,-3.0,0.0,NE,0.0,École Ouakam
170.0,Décembre,3.0,8,1.0,248.0,190.0,33.0,60.0,1700.0,75.0,4.4,995.6,-3.2,0.0,E,0.8,École Ouakam
171.0,Décembre,3.0,8,2.0,167.0,182.0,26.0,84.0,1600.0,75.0,4.0,995.2,-3.5,0.0,ENE,0.6,École Ouakam
172.0,Décembre,3.0,8,3.0,137.0,164.0,26.0,76.0,1800.0,75.0,4.5,994.7,-3.1,0.0,SE,1.4,École Ouakam
173.0,Décembre,3.0,8,4.0,133.0,146.0,18.0,34.0,700.0,75.0,16.7,994.9,-5.8,0.0,NW,5.2,École Ouakam
174.0,Décembre,3.0,8,5.0,79.0,100.0,8.0,7.0,300.0,75.0,15.4,995.6,-6.2,0.0,SE,0.7,École Ouakam
175.0,Décembre,3.0,8,6.0,41.0,160.0,8.0,9.0,300.0,75.0,12.7,996.2,-5.4,0.0,ESE,1.7,École Ouakam
176.0,Décembre,3.0,8,7.0,37.0,129.0,9.0,10.0,300.0,75.0,14.9,996.7,-5.5,0.0,NE,1.3,École Ouakam
177.0,Décembre,3.0,8,8.0,38.0,137.0,15.0,26.0,400.0,75.0,11.2,997.8,-4.1,0.0,ESE,1.7,École Ouakam
178.0,Décembre,3.0,8,9.0,48.0,149.0,18.0,30.0,700.0,75.0,14.5,997.9,-2.9,0.0,SSW,1.7,École Ouakam
179.0,Décembre,3.0,8,10.0,122.0,175.0,31.7016,50.0932,700.0,75.0,17.3,997.3,-3.5,0.0,SE,1.4,École Ouakam
180.0,Décembre,3.0,8,11.0,166.0,277.0,43.0,85.0,1700.0,75.0,19.3,996.7,-3.6,0.0,ESE,2.1,École Ouakam
181.0,Décembre,3.0,8,12.0,108.0,172.0,28.0,48.0,900.0,75.0,20.6,995.8,-3.9,0.0,ESE,2.5,École Ouakam
182.0,Décembre,3.0,8,13.0,111.0,212.0,27.0,50.0,1000.0,82.0,21.9,994.7,-4.3,0.0,SE,3.0,École Ouakam
183.0,Décembre,3.0,8,14.0,146.0,240.0,35.0,91.0,1399.0,82.0,17.6,995.0,1.5,0.0,ESE,4.5,École Ouakam
187.0,Décembre,3.0,8,18.0,173.0,244.0,49.0,57.0,1600.0,107.0,10.4,997.4,-1.0,0.0,SE,2.7,École Ouakam
188.0,Décembre,3.0,8,19.0,118.0,216.0,39.0,46.0,1300.0,107.0,9.4,997.3,-0.8,0.0,ESE,2.7,École Ouakam
189.0,Décembre,3.0,8,20.0,120.0,188.0,48.0,50.0,1100.0,107.0,8.6,997.1,-1.5,0.0,ESE,2.8,École Ouakam
190.0,Décembre,3.0,8,21.0,113.0,156.0,45.0,46.0,1200.0,107.0,7.6,996.9,-2.4,0.0,ESE,1.8,École Ouakam
191.0,Décembre,3.0,8,22.0,104.0,134.0,32.0,42.0,1200.0,107.0,6.8,996.0,-3.2,0.0,ESE,1.3,École Ouakam
192.0,Décembre,3.0,8,23.0,105.0,124.0,25.0,47.0,1300.0,107.0,5.6,994.5,-3.0,0.0,ESE,0.7,École Ouakam
193.0,Décembre,3.0,9,0.0,108.0,123.0,23.0,55.0,1300.0,107.0,4.3,993.1,-3.0,0.0,NNE,1.2,École Ouakam
194.0,Décembre,3.0,9,1.0,111.0,145.0,17.0,48.0,1300.0,107.0,3.9,991.9,-2.5,0.0,NNE,0.0,École Ouakam
195.0,Décembre,3.0,9,2.0,110.0,135.0,18.0,50.0,1300.0,107.0,3.0,991.2,-2.7,0.0,N,0.7,École Ouakam
196.0,Décembre,3.0,9,3.0,194.0,120.0,18.0,45.0,1200.0,107.0,2.4,989.8,-2.9,0.0,NNW,1.2,École Ouakam
197.0,Décembre,3.0,9,4.0,101.0,112.0,20.0,40.0,1200.0,107.0,1.9,988.9,-3.0,0.0,NNE,0.7,École Ouakam
198.0,Décembre,3.0,9,5.0,106.0,108.0,20.0,34.0,1200.0,107.0,2.0,989.2,-3.3,0.0,NNE,0.5,École Ouakam
199.0,Décembre,3.0,9,6.0,54.0,102.0,18.0,28.0,1200.0,107.0,1.8,989.0,-3.3,0.0,NNW,0.4,École Ouakam
200.0,Décembre,3.0,9,7.0,99.0,107.0,21.0,28.0,1300.0,107.0,6.0,990.5,-2.1,0.0,NE,2.4,École Ouakam
201.0,Décembre,3.0,9,8.0,118.0,202.0,37.0,36.0,1399.0,107.0,14.2,992.3,-1.5,0.0,NE,2.5,École Ouakam
203.0,Décembre,3.0,9,10.0,72.0,329.0,17.0,13.0,500.0,107.0,14.4,996.8,-7.1,0.0,ENE,7.8,École Ouakam
209.0,Décembre,3.0,9,16.0,15.0,230.0,3.0,,200.0,89.0,9.2,1008.0,-18.8,0.0,NNE,7.1,École Ouakam
210.0,Décembre,3.0,9,17.0,8.0,147.0,3.0,,200.0,90.0,7.7,1010.2,-20.0,0.0,N,5.1,École Ouakam
211.0,Décembre,3.0,9,18.0,3.0,93.0,3.0,,200.0,91.0,6.6,1013.1,-19.9,0.0,N,5.2,École Ouakam
212.0,Décembre,3.0,9,19.0,10.0,82.0,3.0,,200.0,91.0,5.7,1015.1,-19.8,0.0,NNE,3.3,École Ouakam
213.0,Décembre,3.0,9,20.0,10.0,70.0,3.0,,200.0,91.0,5.0,1017.0,-19.6,0.0,NNE,2.5,École Ouakam
214.0,Décembre,3.0,9,21.0,13.0,41.0,3.0,,200.0,91.0,4.8,1017.7,-19.7,0.0,NNE,3.3,École Ouakam
215.0,Décembre,3.0,9,22.0,13.0,23.0,3.0,,200.0,91.0,3.8,1018.1,-19.8,0.0,N,1.2,École Ouakam
216.0,Décembre,3.0,9,23.0,3.0,14.0,3.0,2.0,200.0,91.0,3.4,1018.0,-20.1,0.0,NE,1.1,École Ouakam
217.0,Décembre,3.0,10,0.0,7.0,13.0,3.0,3.0,200.0,91.0,4.4,1017.8,-20.1,0.0,NW,2.0,École Ouakam
218.0,Décembre,3.0,10,1.0,12.0,14.0,4.0,8.0,200.0,91.0,4.9,1018.1,-20.4,0.0,NW,3.0,École Ouakam
219.0,Décembre,3.0,10,2.0,13.0,7.0,7.0,9.0,200.0,91.0,4.5,1017.9,-20.0,0.0,NW,3.3,École Ouakam
220.0,Décembre,3.0,10,3.0,10.0,5.0,7.0,8.0,200.0,91.0,4.1,1018.1,-20.3,0.0,NW,2.5,École Ouakam
221.0,Décembre,3.0,10,4.0,13.0,4.0,8.0,8.0,300.0,91.0,4.7,1018.6,-19.8,0.0,NW,3.0,École Ouakam
222.0,Décembre,3.0,10,5.0,8.0,8.0,10.0,8.0,300.0,91.0,4.3,1018.8,-20.1,0.0,NW,3.3,École Ouakam
223.0,Décembre,3.0,10,6.0,10.0,7.0,12.0,10.0,300.0,91.0,3.6,1018.9,-18.6,0.0,ESE,1.2,École Ouakam
224.0,Décembre,3.0,10,7.0,8.0,8.0,12.0,10.0,300.0,91.0,5.7,1019.8,-19.0,0.0,WNW,3.3,École Ouakam
225.0,Décembre,3.0,10,8.0,11.0,18.0,10.0,11.0,300.0,91.0,8.0,1019.8,-18.8,0.0,NW,2.8,École Ouakam
226.0,Décembre,3.0,10,9.0,18.0,19.0,13.0,13.0,400.0,91.0,9.4,1019.2,-18.7,0.0,NNW,3.2,École Ouakam
227.0,Décembre,3.0,10,10.0,7.0,62.0,10.0,7.0,300.0,91.0,10.6,1018.4,-16.8,0.0,S,2.5,École Ouakam
228.0,Décembre,3.0,10,11.0,12.0,62.0,9.0,6.0,300.0,91.0,10.4,1018.1,-16.9,0.0,SE,2.0,École Ouakam
229.0,Décembre,3.0,10,12.0,16.0,24.0,10.0,13.0,300.0,91.0,11.3,1017.1,-17.2,0.0,S,3.6,École Ouakam
230.0,Décembre,3.0,10,13.0,16.0,23.0,10.0,15.0,400.0,91.0,12.1,1016.0,-16.5,0.0,SSW,2.8,École Ouakam
231.0,Décembre,3.0,10,14.0,21.0,39.0,12.0,17.0,400.0,91.0,11.9,1015.1,-15.7,0.0,S,3.7,École Ouakam
